device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 3
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 79: train 9.9553 | val 6,6: 10.8056 | 9,6: 9.2791 | 12,6: 8.1204 | 15,3: 11.5945
epoch 80: train 9.9547 | val 6,6: 10.8019 | 9,6: 9.2811 | 12,6: 8.1365 | 15,3: 11.5933
epoch 81: train 9.9565 | val 6,6: 10.8030 | 9,6: 9.2767 | 12,6: 8.1234 | 15,3: 11.5915
epoch 82: train 9.9572 | val 6,6: 10.8008 | 9,6: 9.2840 | 12,6: 8.1289 | 15,3: 11.6044
epoch 83: train 9.9580 | val 6,6: 10.8039 | 9,6: 9.2810 | 12,6: 8.1178 | 15,3: 11.5946
epoch 84: train 9.9553 | val 6,6: 10.8108 | 9,6: 9.2853 | 12,6: 8.1284 | 15,3: 11.5918
epoch 85: train 9.9517 | val 6,6: 10.8057 | 9,6: 9.2849 | 12,6: 8.1248 | 15,3: 11.6021
epoch 86: train 9.9561 | val 6,6: 10.8116 | 9,6: 9.2865 | 12,6: 8.1268 | 15,3: 11.5954
epoch 87: train 9.9505 | val 6,6: 10.8018 | 9,6: 9.2796 | 12,6: 8.1185 | 15,3: 11.5962
epoch 88: train 9.9529 | val 6,6: 10.7969 | 9,6: 9.2817 | 12,6: 8.1293 | 15,3: 11.5958
