# num_workers = 96
# num_cells = 256
# seed_for_environment = 1982
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 100
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.001
# env_reward_engineering = True
# env_minimum_number_of_qubits = 6
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth
# index_to_unfreeze_encoder_updates = 10
# encoder_lr_factor = 0.1
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
evaluation number	reward	policy entropy	Encoder freeze
14	0.125	0.026011381298303604	False
14	0.12999999523162842	0.02463991753757	False
14	0.11999999731779099	0.02911503240466118	False
14	0.125	0.024261781945824623	False
14	0.11999999731779099	0.025203488767147064	False
14	0.11999999731779099	0.023794619366526604	False
14	0.12250000238418579	0.027203122153878212	False
14	0.12250000238418579	0.023541701957583427	False
14	0.12250000238418579	0.02584483101963997	False
14	0.12999999523162842	0.023535819724202156	False
14	0.11999999731779099	0.028452469035983086	False
14	0.125	0.02438417449593544	False
14	0.125	0.02653924748301506	False
14	0.125	0.023951640352606773	False
14	0.12250000238418579	0.027622824534773827	False
14	0.11999999731779099	0.02297850511968136	False
14	0.125	0.026985563337802887	False
14	0.12250000238418579	0.02270076796412468	False
14	0.11749999970197678	0.027838177978992462	False
14	0.125	0.024408552795648575	False
14	0.12250000238418579	0.023360220715403557	False
14	0.14000000059604645	0.024650895968079567	False
14	0.1274999976158142	0.02376336045563221	False
14	0.125	0.023620670661330223	False
14	0.11999999731779099	0.02661101706326008	False
14	0.125	0.02597365528345108	False
14	0.125	0.027062121778726578	False
15	0.125	0.031322844326496124	False
15	0.125	0.03424660116434097	False
15	0.13249999284744263	0.032133083790540695	False
15	0.11999999731779099	0.033473554998636246	False
15	0.125	0.029262728989124298	False
15	0.125	0.03088047169148922	False
15	0.12250000238418579	0.030176127329468727	False
15	0.12250000238418579	0.031678877770900726	False
15	0.11999999731779099	0.028324680402874947	False
15	0.125	0.03317653387784958	False
15	0.12250000238418579	0.0333227813243866	False
15	0.125	0.03176454082131386	False
15	0.125	0.028076237067580223	False
15	0.12250000238418579	0.029889535158872604	False
15	0.13500000536441803	0.0309289637953043	False
15	0.12250000238418579	0.03265029564499855	False
15	0.12250000238418579	0.03175660967826843	False
15	0.1274999976158142	0.03214621543884277	False
15	0.125	0.031180350109934807	False
15	0.125	0.031303875148296356	False
15	0.11999999731779099	0.031745705753564835	False
15	0.12250000238418579	0.035559918731451035	False
15	0.12250000238418579	0.029432034119963646	False
15	0.12250000238418579	0.0330137275159359	False
15	0.12250000238418579	0.030012521892786026	False
15	0.125	0.031511157751083374	False
15	0.125	0.030457433313131332	False
15	0.12999999523162842	0.03383863717317581	False
15	0.125	0.02997821569442749	False
15	0.1274999976158142	0.03380286321043968	False
16	0.12250000238418579	0.027613874524831772	False
16	0.11999999731779099	0.03196724131703377	False
16	0.12250000238418579	0.028538191691040993	False
16	0.12250000238418579	0.03135762736201286	False
16	0.12999999523162842	0.027403559535741806	False
16	0.12999999523162842	0.029470108449459076	False
16	0.12250000238418579	0.027000581845641136	False
16	0.125	0.03226703405380249	False
16	0.13500000536441803	0.026405293494462967	False
16	0.1274999976158142	0.02921896241605282	False
16	0.12250000238418579	0.029397636651992798	False
16	0.125	0.03353952616453171	False
16	0.1274999976158142	0.027758808806538582	False
16	0.12250000238418579	0.029374446719884872	False
16	0.125	0.029109343886375427	False
16	0.12250000238418579	0.03341151401400566	False
16	0.1274999976158142	0.027446860447525978	False
16	0.12250000238418579	0.029973316937685013	False
16	0.11999999731779099	0.0280692707747221	False
16	0.12250000238418579	0.029817812144756317	False
16	0.12250000238418579	0.028911704197525978	False
16	0.11749999970197678	0.0286177359521389	False
16	0.12999999523162842	0.029709208756685257	False
16	0.125	0.032375216484069824	False
16	0.12250000238418579	0.029779057949781418	False
16	0.12250000238418579	0.029359720647335052	False
16	0.11999999731779099	0.028650406748056412	False
16	0.12250000238418579	0.030660707503557205	False
16	0.1274999976158142	0.026217464357614517	False
16	0.11749999970197678	0.03319215774536133	False
17	0.12250000238418579	0.03298235312104225	False
17	0.12250000238418579	0.04311808571219444	False
17	0.12250000238418579	0.031534627079963684	False
17	0.12250000238418579	0.0414542630314827	False
17	0.125	0.03523066267371178	False
17	0.11999999731779099	0.04334227368235588	False
17	0.1274999976158142	0.03457437455654144	False
17	0.11749999970197678	0.04015244543552399	False
17	0.11999999731779099	0.035262566059827805	False
17	0.11999999731779099	0.04094056040048599	False
17	0.125	0.03387933969497681	False
17	0.11500000208616257	0.043020445853471756	False
17	0.12250000238418579	0.033750150352716446	False
17	0.11999999731779099	0.04098286107182503	False
17	0.125	0.03717196732759476	False
17	0.125	0.044432565569877625	False
17	0.12250000238418579	0.03297071158885956	False
17	0.11999999731779099	0.04543264955282211	False
17	0.12999999523162842	0.03368249163031578	False
17	0.125	0.04581324756145477	False
17	0.125	0.033438198268413544	False
17	0.125	0.04109872505068779	False
17	0.12250000238418579	0.03591615706682205	False
17	0.12250000238418579	0.044326670467853546	False
